entity_id,entity_name,entity_type,entity_type_cn,entity_subtype,source_text,paper_id,paragraph_id,confidence,need_review
E-0001,P2O5 含量,GeochemicalIndicator,地球化学指标,,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,P001,P001-001,0.86,False
E-0002,体主要赋存于寒武系梅树村组,StratigraphicUnit,地层单元,,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,P001,P001-001,0.8,False
E-0003,厚度,ResourceAttribute,资源属性,,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,P001,P001-001,0.78,False
E-0004,含磷岩系,OreBearingHorizon,含矿层位,,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,P001,P001-001,0.78,False
E-0005,含磷白云岩,Lithology,岩性,,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,P001,P001-001,0.9,False
E-0006,断裂,TectonicSetting,构造背景,,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,P001,P001-001,0.88,False
E-0007,断裂构造,TectonicSetting,构造背景,,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,P001,P001-001,0.88,False
E-0008,梅树村组含磷岩系,StratigraphicUnit,地层单元,,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,P001,P001-001,0.8,False
E-0009,浅海台地沉积环境,SedimentaryEnvironment,沉积环境,,浅海台地沉积环境有利于磷质沉积和矿体形成。,P001,P001-001,0.86,False
E-0010,白云岩,Lithology,岩性,,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,P001,P001-001,0.9,False
E-0011,白云质磷块岩,Lithology,岩性,,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,P001,P001-001,0.9,False
E-0012,矿体,Orebody,矿体,泛指,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,P001,P001-001,0.7,True
E-0013,矿体主要赋存于寒武系,StratigraphicUnit,地层单元,,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,P001,P001-001,0.8,False
E-0014,矿层,OreBearingHorizon,含矿层位,,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,P001,P001-001,0.78,False
E-0015,矿层厚度,ResourceAttribute,资源属性,,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,P001,P001-001,0.78,False
E-0016,磷块岩,Lithology,岩性,,含矿岩性主要为磷块岩、白云质磷块岩和含磷白云岩。,P001,P001-001,0.9,False
E-0017,磷质沉积,ProspectingIndicator,找矿标志,,浅海台地沉积环境有利于磷质沉积和矿体形成。,P001,P001-001,0.74,True
E-0018,羊场磷矿床,Deposit,矿床,,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,P001,P001-001,0.88,False
E-0019,羊场磷矿床位于滇东北地区,Region,地区,,羊场磷矿床位于滇东北地区，矿体主要赋存于寒武系梅树村组含磷岩系中。,P001,P001-001,0.78,False
E-0020,背斜,TectonicSetting,构造背景,,研究区发育背斜和断裂构造，对矿体展布具有一定影响。,P001,P001-001,0.88,False
E-0021,资源潜力,ResourceAttribute,资源属性,,P2O5 含量和矿层厚度是评价磷矿资源潜力的重要指标。,P001,P001-001,0.78,False
